pi	EigenGWAS
Solyc01g091170	Solyc01g093990
Solyc01g091180	Solyc01g094000
Solyc01g091190	Solyc01g094010
Solyc01g091200	Solyc01g094020
Solyc01g091210	Solyc01g094030
Solyc01g091220	Solyc01g097600
Solyc01g091230	Solyc01g097610
Solyc01g091240	Solyc01g097620
Solyc01g091250	Solyc01g097630
Solyc01g091260	Solyc01g097640
Solyc01g091270	Solyc01g097650
Solyc01g091280	Solyc01g097660
Solyc01g091290	Solyc01g097670
Solyc01g091300	Solyc01g097680
Solyc01g091310	Solyc01g097690
Solyc01g091320	Solyc01g097700
Solyc01g091330	Solyc01g097710
Solyc01g091340	Solyc01g097720
Solyc01g091350	Solyc01g097730
Solyc01g091360	Solyc01g097740
Solyc01g091370	Solyc01g097750
Solyc01g091380	Solyc01g097760
Solyc01g091390	Solyc01g097770
Solyc01g091400	Solyc01g097780
Solyc01g091410	Solyc01g097790
Solyc01g091420	Solyc01g097800
Solyc01g091430	Solyc01g097810
Solyc01g091440	Solyc01g097820
Solyc01g091830	Solyc01g097830
Solyc01g091840	Solyc01g097840
Solyc01g091850	Solyc01g098590
Solyc01g091860	Solyc01g098600
Solyc01g091870	Solyc01g098610
Solyc01g091880	Solyc01g098620
Solyc01g091890	Solyc01g098630
Solyc01g091900	Solyc01g098640
Solyc01g091910	Solyc01g098650
Solyc01g091920	Solyc01g098660
Solyc01g091930	Solyc01g098670
Solyc01g091940	Solyc01g098680
Solyc01g091950	Solyc01g098690
Solyc01g092950	Solyc01g098700
Solyc01g093960	Solyc01g098710
Solyc01g097360	Solyc01g098720
Solyc01g097370	Solyc01g098730
Solyc01g097380	Solyc01g098740
Solyc01g097390	Solyc01g098750
Solyc01g097400	Solyc01g098760
Solyc01g097410	Solyc01g098770
Solyc01g097420	Solyc01g098780
Solyc01g097430	Solyc01g098790
Solyc01g097440	Solyc01g098800
Solyc01g097450	Solyc01g098810
Solyc01g097460	Solyc01g098820
Solyc01g097470	Solyc01g098830
Solyc01g097480	Solyc01g098840
Solyc01g097490	Solyc01g098850
Solyc01g097500	Solyc01g098860
Solyc01g097510	Solyc01g098870
Solyc01g097520	Solyc01g098880
Solyc01g097530	Solyc01g098890
Solyc01g097540	Solyc01g098900
Solyc01g097550	Solyc01g098910
Solyc01g097560	Solyc01g098920
Solyc01g097570	Solyc01g098930
Solyc01g097580	Solyc01g098940
Solyc01g097590	Solyc01g098950
Solyc01g097600	Solyc01g098960
Solyc01g097610	Solyc01g098970
Solyc01g097620	Solyc01g098980
Solyc01g097630	Solyc01g098990
Solyc01g097640	Solyc01g099000
Solyc01g097650	Solyc01g099010
Solyc01g097660	Solyc01g099020
Solyc01g097670	Solyc01g099030
Solyc01g097680	Solyc01g099040
Solyc01g097690	Solyc01g099050
Solyc01g097700	Solyc01g099060
Solyc01g097710	Solyc01g099070
Solyc01g097720	Solyc01g099080
Solyc01g097730	Solyc01g099090
Solyc01g097740	Solyc01g099100
Solyc01g097750	Solyc01g099110
Solyc01g097760	Solyc01g099120
Solyc01g097770	Solyc01g099130
Solyc01g097780	Solyc01g099140
Solyc01g097790	Solyc01g099150
Solyc01g097800	Solyc01g099160
Solyc01g097810	Solyc01g099170
Solyc01g097820	Solyc01g099180
Solyc01g097830	Solyc01g099190
Solyc01g097840	Solyc01g099200
Solyc01g097850	Solyc01g099210
Solyc01g097860	Solyc01g099220
Solyc01g097870	Solyc01g099230
Solyc01g097880	Solyc01g099240
Solyc01g097890	Solyc01g099250
Solyc01g097900	Solyc01g099260
Solyc01g097910	Solyc01g099270
Solyc01g097920	Solyc01g099280
Solyc01g097930	Solyc01g099290
Solyc01g097940	Solyc01g099300
Solyc01g097950	Solyc01g099310
Solyc01g097960	Solyc01g099320
Solyc01g097970	Solyc01g099330
Solyc01g097980	Solyc01g099340
Solyc01g097990	Solyc01g099350
Solyc01g098000	Solyc01g099360
Solyc01g098010	Solyc01g099370
Solyc01g098020	Solyc01g099380
Solyc01g098030	Solyc01g099390
Solyc01g098040	Solyc01g099400
Solyc01g098050	Solyc01g099410
Solyc01g098060	Solyc01g099420
Solyc01g098070	Solyc01g099430
Solyc01g098080	Solyc01g099440
Solyc01g098090	Solyc01g099450
Solyc01g098100	Solyc01g099460
Solyc01g098110	Solyc01g099470
Solyc01g098120	Solyc01g099980
Solyc01g098130	Solyc01g099990
Solyc01g098140	Solyc01g100000
Solyc01g098150	Solyc01g100010
Solyc01g098160	Solyc01g100020
Solyc01g098170	Solyc01g100030
Solyc01g098410	Solyc01g100040
Solyc01g098420	Solyc01g100050
